Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/exibir_nota,HTTPError('503 Server Error: SERVICE UNAVAILABLE for url: /exibir_nota'),56,2026-09-17T16:54:55Z,2026-09-17T16:54:55Z
POST,/exibir_nota,"ConnectionResetError(104, 'Connection reset by peer')",15240,2026-09-17T16:53:49Z,2026-09-17T16:55:46Z
