Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/exibir_nota,239316,0,1600,1754.9554574891856,53.82599699998991,67159.39696600003,47.0,1987.5102900882073,0.0,1600,1900,2100,2200,2500,2700,3000,3200,53000,64000,67000
,Aggregated,239316,0,1600,1754.9554574891856,53.82599699998991,67159.39696600003,47.0,1987.5102900882073,0.0,1600,1900,2100,2200,2500,2700,3000,3200,53000,64000,67000
