Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/exibir_nota,236076,0,1600,1786.312587401228,53.5993480000343,70925.99972799997,47.0,1961.6066474874895,0.0,1600,1900,2100,2300,2600,2800,3200,4300,53000,66000,71000
,Aggregated,236076,0,1600,1786.312587401228,53.5993480000343,70925.99972799997,47.0,1961.6066474874895,0.0,1600,1900,2100,2300,2600,2800,3200,4300,53000,66000,71000
