Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/exibir_nota,92784,0,8200,7437.459944128395,54.28436099998635,8677.481216999922,47.0,771.1381073405126,0.0,8200,8300,8300,8300,8400,8500,8500,8600,8600,8700,8700
,Aggregated,92784,0,8200,7437.459944128395,54.28436099998635,8677.481216999922,47.0,771.1381073405126,0.0,8200,8300,8300,8300,8400,8500,8500,8600,8600,8700,8700
