Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/exibir_nota,240447,1361,1500,1724.7859018288189,53.759650999836595,65667.95331800017,47.3282968803936,1997.3828642419471,11.305768332452848,1500,1900,2100,2200,2500,2700,2900,3100,52000,63000,66000
,Aggregated,240447,1361,1500,1724.7859018288189,53.759650999836595,65667.95331800017,47.3282968803936,1997.3828642419471,11.305768332452848,1500,1900,2100,2200,2500,2700,2900,3100,52000,63000,66000
