Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/CalculaNota,391161,0,57,63.04154181933531,51.30417200007287,363.2447120000961,30.0,4325.476561184538,0.0,57,60,62,64,73,95,130,160,260,320,360
,Aggregated,391161,0,57,63.04154181933531,51.30417200007287,363.2447120000961,30.0,4325.476561184538,0.0,57,60,62,64,73,95,130,160,260,320,360
