Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/exibir_nota,67162,15296,380,2823.3982788027456,0.8463979999646654,88829.90223000002,36.38340132813198,558.6544693436153,127.23234512194307,380,1300,2300,3300,5400,11000,29000,38000,69000,82000,89000
,Aggregated,67162,15296,380,2823.3982788027456,0.8463979999646654,88829.90223000002,36.38340132813198,558.6544693436153,127.23234512194307,380,1300,2300,3300,5400,11000,29000,38000,69000,82000,89000
